,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
419,Toronto Raptors,33,49,.402,28.0,85.4,88.5,-3.42,2004,Eastern
420,Atlanta Hawks,28,54,.341,33.0,92.8,97.5,-5.00,2004,Eastern
421,Chicago Bulls,23,59,.280,38.0,89.7,96.0,-6.69,2004,Eastern
422,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2004,Western
423,Minnesota Timberwolves*,58,24,.707,—,94.5,89.1,5.86,2004,Western
424,San Antonio Spurs*,57,25,.695,1.0,91.5,84.3,7.51,2004,Western
425,Dallas Mavericks*,52,30,.634,6.0,105.2,100.8,4.86,2004,Western
426,Memphis Grizzlies*,50,32,.610,8.0,96.7,94.3,2.95,2004,Western
427,Houston Rockets*,45,37,.549,13.0,89.8,88.0,2.28,2004,Western
428,Denver Nuggets*,43,39,.524,15.0,97.2,96.1,1.65,2004,Western
429,Utah Jazz,42,40,.512,16.0,88.7,89.9,-0.53,2004,Western
430,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Western
431,Los Angeles Lakers*,56,26,.683,—,98.2,94.3,4.35,2004,Western
432,Sacramento Kings*,55,27,.671,1.0,102.8,97.8,5.41,2004,Western
433,Portland Trail Blazers,41,41,.500,15.0,90.7,92.0,-0.58,2004,Western
434,Golden State Warriors,37,45,.451,19.0,93.3,94.0,-0.07,2004,Western
435,Seattle SuperSonics,37,45,.451,19.0,97.1,97.8,0.02,2004,Western
436,Phoenix Suns,29,53,.354,27.0,94.2,97.9,-2.94,2004,Western
437,Los Angeles Clippers,28,54,.341,28.0,94.8,99.4,-3.74,2004,Western
438,Boston Celtics*,45,37,.549,—,101.3,100.4,0.35,2005,Eastern
439,Philadelphia 76ers*,43,39,.524,2.0,99.1,99.9,-1.07,2005,Eastern
440,New Jersey Nets*,42,40,.512,3.0,91.4,92.9,-1.82,2005,Eastern
441,Toronto Raptors,33,49,.402,12.0,99.7,101.4,-1.81,2005,Eastern
442,New York Knicks,33,49,.402,12.0,97.3,99.7,-2.72,2005,Eastern
443,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005,Eastern
444,Detroit Pistons*,54,28,.659,—,93.3,89.5,3.31,2005,Eastern
445,Chicago Bulls*,47,35,.573,7.0,94.5,93.4,0.65,2005,Eastern
446,Indiana Pacers*,44,38,.537,10.0,93.0,92.2,0.49,2005,Eastern
447,Cleveland Cavaliers,42,40,.512,12.0,96.5,95.7,0.27,2005,Eastern
448,Milwaukee Bucks,30,52,.366,24.0,97.2,100.2,-3.09,2005,Eastern
449,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005,Eastern
450,Miami Heat*,59,23,.720,—,101.5,95.0,5.77,2005,Eastern
451,Washington Wizards*,45,37,.549,14.0,100.5,100.8,-0.71,2005,Eastern
452,Orlando Magic,36,46,.439,23.0,99.5,101.8,-2.52,2005,Eastern
453,Charlotte Bobcats,18,64,.220,41.0,94.3,100.2,-6.15,2005,Eastern
454,Atlanta Hawks,13,69,.159,46.0,92.7,102.5,-9.62,2005,Eastern
