,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
650,Philadelphia 76ers*,41,41,.500,15.0,99.0,97.5,1.01,2011,Eastern
651,New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,2011,Eastern
652,Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,2011,Eastern
653,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011,Eastern
654,Chicago Bulls*,62,20,.756,—,98.6,91.3,6.53,2011,Eastern
655,Indiana Pacers*,37,45,.451,25.0,99.8,100.9,-1.38,2011,Eastern
656,Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,2011,Eastern
657,Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,2011,Eastern
658,Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,2011,Eastern
659,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2011,Eastern
660,Miami Heat*,58,24,.707,—,102.1,94.6,6.76,2011,Eastern
661,Orlando Magic*,52,30,.634,6.0,99.2,93.7,4.92,2011,Eastern
662,Atlanta Hawks*,44,38,.537,14.0,95.0,95.8,-1.10,2011,Eastern
663,Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,2011,Eastern
664,Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,2011,Eastern
665,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Western
666,Oklahoma City Thunder*,55,27,.671,—,104.8,101.0,3.81,2011,Western
667,Denver Nuggets*,50,32,.610,5.0,107.5,102.7,4.81,2011,Western
668,Portland Trail Blazers*,48,34,.585,7.0,96.3,94.8,1.85,2011,Western
669,Utah Jazz,39,43,.476,16.0,99.4,101.3,-1.44,2011,Western
670,Minnesota Timberwolves,17,65,.207,38.0,101.1,107.7,-5.97,2011,Western
671,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Western
672,Los Angeles Lakers*,57,25,.695,—,101.5,95.4,6.01,2011,Western
673,Phoenix Suns,40,42,.488,17.0,105.0,105.9,-0.46,2011,Western
674,Golden State Warriors,36,46,.439,21.0,103.4,105.7,-2.00,2011,Western
675,Los Angeles Clippers,32,50,.390,25.0,98.6,101.8,-2.71,2011,Western
676,Sacramento Kings,24,58,.293,33.0,99.4,104.7,-4.80,2011,Western
677,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Western
678,San Antonio Spurs*,61,21,.744,—,103.7,98.0,5.86,2011,Western
679,Dallas Mavericks*,57,25,.695,4.0,100.2,96.0,4.41,2011,Western
680,New Orleans Hornets*,46,36,.561,15.0,94.9,94.0,1.28,2011,Western
681,Memphis Grizzlies*,46,36,.561,15.0,99.9,97.6,2.55,2011,Western
682,Houston Rockets,43,39,.524,18.0,105.9,103.7,2.37,2011,Western
683,Boston Celtics*,39,27,.591,—,91.8,89.3,2.26,2012,Eastern
684,New York Knicks*,36,30,.545,3.0,97.8,94.7,2.39,2012,Eastern
685,Philadelphia 76ers*,35,31,.530,4.0,93.6,89.4,3.59,2012,Eastern
686,Toronto Raptors,23,43,.348,16.0,90.7,94.0,-3.67,2012,Eastern
687,New Jersey Nets,22,44,.333,17.0,93.1,99.1,-6.37,2012,Eastern
688,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2012,Eastern
689,Chicago Bulls*,50,16,.758,—,96.3,88.2,7.43,2012,Eastern
690,Indiana Pacers*,42,24,.636,8.0,97.7,94.4,2.60,2012,Eastern
691,Milwaukee Bucks,31,35,.470,19.0,99.0,98.7,-0.23,2012,Eastern
692,Detroit Pistons,25,41,.379,25.0,90.9,95.7,-5.19,2012,Eastern
693,Cleveland Cavaliers,21,45,.318,29.0,93.0,100.2,-7.34,2012,Eastern
694,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2012,Eastern
695,Miami Heat*,46,20,.697,—,98.5,92.5,5.72,2012,Eastern
696,Atlanta Hawks*,40,26,.606,6.0,96.6,93.2,2.67,2012,Eastern
697,Orlando Magic*,37,29,.561,9.0,94.2,93.4,0.46,2012,Eastern
698,Washington Wizards,20,46,.303,26.0,93.6,98.4,-5.14,2012,Eastern
699,Charlotte Bobcats,7,59,.106,39.0,87.0,100.9,-13.96,2012,Eastern
700,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Western
701,Oklahoma City Thunder*,47,19,.712,—,103.1,96.9,6.44,2012,Western
702,Denver Nuggets*,38,28,.576,9.0,104.1,101.2,3.16,2012,Western
703,Utah Jazz*,36,30,.545,11.0,99.7,99.0,0.92,2012,Western
704,Portland Trail Blazers,28,38,.424,19.0,97.2,97.8,-0.22,2012,Western
705,Minnesota Timberwolves,26,40,.394,21.0,97.9,100.1,-1.83,2012,Western
706,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Western
707,Los Angeles Lakers*,41,25,.621,—,97.3,95.9,1.96,2012,Western
708,Los Angeles Clippers*,40,26,.606,1.0,97.5,95.0,2.82,2012,Western
709,Phoenix Suns,33,33,.500,8.0,98.4,98.6,0.29,2012,Western
710,Golden State Warriors,23,43,.348,18.0,97.8,101.2,-2.79,2012,Western
711,Sacramento Kings,22,44,.333,19.0,98.8,104.4,-4.95,2012,Western
712,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Western
713,San Antonio Spurs*,50,16,.758,—,103.7,96.5,7.28,2012,Western
714,Memphis Grizzlies*,41,25,.621,9.0,95.0,93.0,2.43,2012,Western
715,Dallas Mavericks*,36,30,.545,14.0,95.8,94.8,1.78,2012,Western
716,Houston Rockets,34,32,.515,16.0,98.1,97.9,0.57,2012,Western
717,New Orleans Hornets,21,45,.318,29.0,89.6,93.4,-3.11,2012,Western
718,New York Knicks*,54,28,.659,—,100.0,95.7,3.73,2013,Eastern
719,Brooklyn Nets*,49,33,.598,5.0,96.9,95.1,1.25,2013,Eastern
720,Boston Celtics*,41,40,.506,12.5,96.5,96.7,-0.62,2013,Eastern
721,Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,2013,Eastern
722,Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,2013,Eastern
723,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Eastern
724,Indiana Pacers*,49,32,.605,—,94.7,90.7,3.34,2013,Eastern
725,Chicago Bulls*,45,37,.549,4.5,93.2,92.9,-0.02,2013,Eastern
726,Milwaukee Bucks*,38,44,.463,11.5,98.9,100.4,-1.83,2013,Eastern
727,Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,2013,Eastern
728,Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,2013,Eastern
729,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Eastern
730,Miami Heat*,66,16,.805,—,102.9,95.0,7.03,2013,Eastern
731,Atlanta Hawks*,44,38,.537,22.0,98.0,97.5,-0.08,2013,Eastern
732,Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78,2013,Eastern
733,Charlotte Bobcats,21,61,.256,45.0,93.4,102.7,-9.29,2013,Eastern
734,Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12,2013,Eastern
735,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Western
736,Oklahoma City Thunder*,60,22,.732,—,105.7,96.5,9.15,2013,Western
737,Denver Nuggets*,57,25,.695,3.0,106.1,101.1,5.37,2013,Western
738,Utah Jazz,43,39,.524,17.0,98.0,98.1,0.30,2013,Western
739,Portland Trail Blazers,33,49,.402,27.0,97.5,100.7,-2.53,2013,Western
740,Minnesota Timberwolves,31,51,.378,29.0,95.7,98.1,-1.83,2013,Western
741,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Western
742,Los Angeles Clippers*,56,26,.683,—,101.1,94.6,6.43,2013,Western
743,Golden State Warriors*,47,35,.573,9.0,101.2,100.3,1.32,2013,Western
744,Los Angeles Lakers*,45,37,.549,11.0,102.2,101.0,1.48,2013,Western
745,Sacramento Kings,28,54,.341,28.0,100.2,105.1,-4.26,2013,Western
746,Phoenix Suns,25,57,.305,31.0,95.2,101.6,-5.75,2013,Western
747,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Western
748,San Antonio Spurs*,58,24,.707,—,103.0,96.6,6.67,2013,Western
749,Memphis Grizzlies*,56,26,.683,2.0,93.4,89.3,4.32,2013,Western
750,Houston Rockets*,45,37,.549,13.0,106.0,102.5,3.69,2013,Western
751,Dallas Mavericks,41,41,.500,17.0,101.1,101.7,-0.24,2013,Western
752,New Orleans Hornets,27,55,.329,31.0,94.1,97.9,-3.12,2013,Western
753,Toronto Raptors*,48,34,.585,—,101.3,98.0,2.55,2014,Eastern
754,Brooklyn Nets*,44,38,.537,4.0,98.5,99.5,-1.58,2014,Eastern
755,New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,2014,Eastern
756,Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,2014,Eastern
757,Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,2014,Eastern
758,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Eastern
759,Indiana Pacers*,56,26,.683,—,96.7,92.3,3.63,2014,Eastern
760,Chicago Bulls*,48,34,.585,8.0,93.7,91.8,1.20,2014,Eastern
761,Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,2014,Eastern
762,Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,2014,Eastern
763,Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,2014,Eastern
764,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2014,Eastern
765,Miami Heat*,54,28,.659,—,102.2,97.4,4.15,2014,Eastern
766,Washington Wizards*,44,38,.537,10.0,100.7,99.4,0.48,2014,Eastern
767,Charlotte Bobcats*,43,39,.524,11.0,96.9,97.1,-0.89,2014,Eastern
768,Atlanta Hawks*,38,44,.463,16.0,101.0,101.5,-0.88,2014,Eastern
769,Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,2014,Eastern
770,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Western
771,Oklahoma City Thunder*,59,23,.720,—,106.2,99.8,6.66,2014,Western
772,Portland Trail Blazers*,54,28,.659,5.0,106.7,102.8,4.44,2014,Western
773,Minnesota Timberwolves,40,42,.488,19.0,106.9,104.3,3.10,2014,Western
774,Denver Nuggets,36,46,.439,23.0,104.4,106.5,-1.40,2014,Western
775,Utah Jazz,25,57,.305,34.0,95.0,102.2,-6.27,2014,Western
776,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Western
777,Los Angeles Clippers*,57,25,.695,—,107.9,101.0,7.27,2014,Western
778,Golden State Warriors*,51,31,.622,6.0,104.3,99.5,5.15,2014,Western
779,Phoenix Suns,48,34,.585,9.0,105.2,102.6,3.02,2014,Western
780,Sacramento Kings,28,54,.341,29.0,100.5,103.4,-2.08,2014,Western
781,Los Angeles Lakers,27,55,.329,30.0,103.0,109.2,-5.33,2014,Western
782,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Western
783,San Antonio Spurs*,62,20,.756,—,105.4,97.6,8.00,2014,Western
784,Houston Rockets*,54,28,.659,8.0,107.7,103.1,5.06,2014,Western
785,Memphis Grizzlies*,50,32,.610,12.0,96.1,94.6,2.18,2014,Western
786,Dallas Mavericks*,49,33,.598,13.0,104.8,102.4,2.91,2014,Western
787,New Orleans Pelicans,34,48,.415,28.0,99.7,102.4,-1.98,2014,Western
788,Toronto Raptors*,49,33,.598,—,104.0,100.9,2.45,2015,Eastern
789,Boston Celtics*,40,42,.488,9.0,101.4,101.2,-0.40,2015,Eastern
790,Brooklyn Nets*,38,44,.463,11.0,98.0,100.9,-3.13,2015,Eastern
791,Philadelphia 76ers,18,64,.220,31.0,92.0,101.0,-9.04,2015,Eastern
792,New York Knicks,17,65,.207,32.0,91.9,101.2,-9.50,2015,Eastern
793,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,Eastern
794,Cleveland Cavaliers*,53,29,.646,—,103.1,98.7,4.08,2015,Eastern
795,Chicago Bulls*,50,32,.610,3.0,100.8,97.8,2.54,2015,Eastern
796,Milwaukee Bucks*,41,41,.500,12.0,97.8,97.4,-0.09,2015,Eastern
797,Indiana Pacers,38,44,.463,15.0,97.3,97.0,-0.23,2015,Eastern
798,Detroit Pistons,32,50,.390,21.0,98.5,99.5,-1.39,2015,Eastern
799,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2015,Eastern
800,Atlanta Hawks*,60,22,.732,—,102.5,97.1,4.75,2015,Eastern
801,Washington Wizards*,46,36,.561,14.0,98.5,97.8,0.17,2015,Eastern
802,Miami Heat,37,45,.451,23.0,94.7,97.3,-2.92,2015,Eastern
803,Charlotte Hornets,33,49,.402,27.0,94.2,97.3,-3.44,2015,Eastern
804,Orlando Magic,25,57,.305,35.0,95.7,101.4,-5.87,2015,Eastern
805,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Western
806,Portland Trail Blazers*,51,31,.622,—,102.8,98.6,4.41,2015,Western
807,Oklahoma City Thunder,45,37,.549,6.0,104.0,101.8,2.47,2015,Western
808,Utah Jazz,38,44,.463,13.0,95.1,94.9,0.71,2015,Western
809,Denver Nuggets,30,52,.366,21.0,101.5,105.0,-3.07,2015,Western
810,Minnesota Timberwolves,16,66,.195,35.0,97.8,106.5,-8.00,2015,Western
811,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Western
812,Golden State Warriors*,67,15,.817,—,110.0,99.9,10.01,2015,Western
813,Los Angeles Clippers*,56,26,.683,11.0,106.7,100.1,6.80,2015,Western
814,Phoenix Suns,39,43,.476,28.0,102.4,103.3,-0.38,2015,Western
815,Sacramento Kings,29,53,.354,38.0,101.3,105.0,-3.07,2015,Western
816,Los Angeles Lakers,21,61,.256,46.0,98.5,105.3,-6.17,2015,Western
817,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Western
818,Houston Rockets*,56,26,.683,—,103.9,100.5,3.82,2015,Western
819,Memphis Grizzlies*,55,27,.671,1.0,98.3,95.1,3.62,2015,Western
820,San Antonio Spurs*,55,27,.671,1.0,103.2,97.0,6.34,2015,Western
821,Dallas Mavericks*,50,32,.610,6.0,105.2,102.3,3.36,2015,Western
822,New Orleans Pelicans*,45,37,.549,11.0,99.4,98.6,1.13,2015,Western
823,Toronto Raptors*,56,26,.683,—,102.7,98.2,4.08,2016,Eastern
824,Boston Celtics*,48,34,.585,8.0,105.7,102.5,2.84,2016,Eastern
825,New York Knicks,32,50,.390,24.0,98.4,101.1,-2.74,2016,Eastern
826,Brooklyn Nets,21,61,.256,35.0,98.6,106.0,-7.12,2016,Eastern
827,Philadelphia 76ers,10,72,.122,46.0,97.4,107.6,-9.92,2016,Eastern
828,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2016,Eastern
829,Cleveland Cavaliers*,57,25,.695,—,104.3,98.3,5.45,2016,Eastern
830,Indiana Pacers*,45,37,.549,12.0,102.2,100.5,1.62,2016,Eastern
831,Detroit Pistons*,44,38,.537,13.0,102.0,101.4,0.43,2016,Eastern
832,Chicago Bulls,42,40,.512,15.0,101.6,103.1,-1.46,2016,Eastern
833,Milwaukee Bucks,33,49,.402,24.0,99.0,103.2,-3.98,2016,Eastern
834,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2016,Eastern
835,Miami Heat*,48,34,.585,—,100.0,98.4,1.50,2016,Eastern
836,Atlanta Hawks*,48,34,.585,—,102.8,99.2,3.49,2016,Eastern
837,Charlotte Hornets*,48,34,.585,—,103.4,100.7,2.36,2016,Eastern
838,Washington Wizards,41,41,.500,7.0,104.1,104.6,-0.50,2016,Eastern
839,Orlando Magic,35,47,.427,13.0,102.1,103.7,-1.68,2016,Eastern
840,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2016,Western
841,Oklahoma City Thunder*,55,27,.671,—,110.2,102.9,7.09,2016,Western
842,Portland Trail Blazers*,44,38,.537,11.0,105.1,104.3,0.98,2016,Western
843,Utah Jazz,40,42,.488,15.0,97.7,95.9,1.84,2016,Western
844,Denver Nuggets,33,49,.402,22.0,101.9,105.0,-2.81,2016,Western
845,Minnesota Timberwolves,29,53,.354,26.0,102.4,106.0,-3.38,2016,Western
846,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2016,Western
847,Golden State Warriors*,73,9,.890,—,114.9,104.1,10.38,2016,Western
848,Los Angeles Clippers*,53,29,.646,20.0,104.5,100.2,4.13,2016,Western
849,Sacramento Kings,33,49,.402,40.0,106.6,109.1,-2.32,2016,Western
850,Phoenix Suns,23,59,.280,50.0,100.9,107.5,-6.32,2016,Western
851,Los Angeles Lakers,17,65,.207,56.0,97.3,106.9,-8.92,2016,Western
852,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Western
853,San Antonio Spurs*,67,15,.817,—,103.5,92.9,10.28,2016,Western
854,Dallas Mavericks*,42,40,.512,25.0,102.3,102.6,-0.02,2016,Western
855,Memphis Grizzlies*,42,40,.512,25.0,99.1,101.3,-2.14,2016,Western
856,Houston Rockets*,41,41,.500,26.0,106.5,106.4,0.34,2016,Western
857,New Orleans Pelicans,30,52,.366,37.0,102.7,106.5,-3.56,2016,Western
858,Boston Celtics*,53,29,.646,—,108.0,105.4,2.25,2017,Eastern
859,Toronto Raptors*,51,31,.622,2.0,106.9,102.6,3.65,2017,Eastern
860,New York Knicks,31,51,.378,22.0,104.3,108.0,-3.87,2017,Eastern
861,Philadelphia 76ers,28,54,.341,25.0,102.4,108.1,-5.83,2017,Eastern
862,Brooklyn Nets,20,62,.244,33.0,105.8,112.5,-6.74,2017,Eastern
863,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,Eastern
864,Cleveland Cavaliers*,51,31,.622,—,110.3,107.2,2.87,2017,Eastern
865,Milwaukee Bucks*,42,40,.512,9.0,103.6,103.8,-0.45,2017,Eastern
866,Indiana Pacers*,42,40,.512,9.0,105.1,105.3,-0.64,2017,Eastern
867,Chicago Bulls*,41,41,.500,10.0,102.9,102.4,0.03,2017,Eastern
868,Detroit Pistons,37,45,.451,14.0,101.3,102.5,-1.29,2017,Eastern
869,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2017,Eastern
870,Washington Wizards*,49,33,.598,—,109.2,107.4,1.36,2017,Eastern
871,Atlanta Hawks*,43,39,.524,6.0,103.2,104.0,-1.23,2017,Eastern
872,Miami Heat,41,41,.500,8.0,103.2,102.1,0.77,2017,Eastern
873,Charlotte Hornets,36,46,.439,13.0,104.9,104.7,-0.07,2017,Eastern
874,Orlando Magic,29,53,.354,20.0,101.1,107.6,-6.61,2017,Eastern
875,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Western
876,Utah Jazz*,51,31,.622,—,100.7,96.8,4.00,2017,Western
877,Oklahoma City Thunder*,47,35,.573,4.0,106.6,105.8,1.14,2017,Western
878,Portland Trail Blazers*,41,41,.500,10.0,107.9,108.5,-0.23,2017,Western
879,Denver Nuggets,40,42,.488,11.0,111.7,111.2,0.70,2017,Western
880,Minnesota Timberwolves,31,51,.378,20.0,105.6,106.7,-0.64,2017,Western
881,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Western
882,Golden State Warriors*,67,15,.817,—,115.9,104.3,11.35,2017,Western
883,Los Angeles Clippers*,51,31,.622,16.0,108.7,104.4,4.42,2017,Western
884,Sacramento Kings,32,50,.390,35.0,102.8,106.7,-3.29,2017,Western
885,Los Angeles Lakers,26,56,.317,41.0,104.6,111.5,-6.29,2017,Western
886,Phoenix Suns,24,58,.293,43.0,107.7,113.3,-5.14,2017,Western
887,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Western
888,San Antonio Spurs*,61,21,.744,—,105.3,98.1,7.13,2017,Western
889,Houston Rockets*,55,27,.671,6.0,115.3,109.6,5.84,2017,Western
890,Memphis Grizzlies*,43,39,.524,18.0,100.5,100.0,0.96,2017,Western
891,New Orleans Pelicans,34,48,.415,27.0,104.3,106.4,-1.69,2017,Western
892,Dallas Mavericks,33,49,.402,28.0,97.9,100.8,-2.53,2017,Western
893,Toronto Raptors*,59,23,.720,—,111.7,103.9,7.29,2018,Eastern
894,Boston Celtics*,55,27,.671,4.0,104.0,100.4,3.23,2018,Eastern
895,Philadelphia 76ers*,52,30,.634,7.0,109.8,105.3,4.30,2018,Eastern
896,New York Knicks,29,53,.354,30.0,104.5,108.0,-3.53,2018,Eastern
897,Brooklyn Nets,28,54,.341,31.0,106.6,110.3,-3.67,2018,Eastern
898,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2018,Eastern
899,Cleveland Cavaliers*,50,32,.610,—,110.9,109.9,0.59,2018,Eastern
900,Indiana Pacers*,48,34,.585,2.0,105.6,104.2,1.18,2018,Eastern
901,Milwaukee Bucks*,44,38,.537,6.0,106.5,106.8,-0.45,2018,Eastern
902,Detroit Pistons,39,43,.476,11.0,103.8,103.9,-0.26,2018,Eastern
903,Chicago Bulls,27,55,.329,23.0,102.9,110.0,-6.84,2018,Eastern
904,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2018,Eastern
905,Miami Heat*,44,38,.537,—,103.4,102.9,0.15,2018,Eastern
906,Washington Wizards*,43,39,.524,1.0,106.6,106.0,0.53,2018,Eastern
907,Charlotte Hornets,36,46,.439,8.0,108.2,108.0,0.07,2018,Eastern
908,Orlando Magic,25,57,.305,19.0,103.4,108.2,-4.92,2018,Eastern
909,Atlanta Hawks,24,58,.293,20.0,103.4,108.8,-5.30,2018,Eastern
910,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Western
911,Portland Trail Blazers*,49,33,.598,—,105.6,103.0,2.60,2018,Western
912,Oklahoma City Thunder*,48,34,.585,1.0,107.9,104.4,3.42,2018,Western
913,Utah Jazz*,48,34,.585,1.0,104.1,99.8,4.47,2018,Western
914,Minnesota Timberwolves*,47,35,.573,2.0,109.5,107.3,2.35,2018,Western
915,Denver Nuggets,46,36,.561,3.0,110.0,108.5,1.57,2018,Western
916,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Western
917,Golden State Warriors*,58,24,.707,—,113.5,107.5,5.79,2018,Western
918,Los Angeles Clippers,42,40,.512,16.0,109.0,109.0,0.15,2018,Western
919,Los Angeles Lakers,35,47,.427,23.0,108.1,109.6,-1.44,2018,Western
920,Sacramento Kings,27,55,.329,31.0,98.8,105.8,-6.60,2018,Western
921,Phoenix Suns,21,61,.256,37.0,103.9,113.3,-8.80,2018,Western
922,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Western
923,Houston Rockets*,65,17,.793,—,112.4,103.9,8.21,2018,Western
924,New Orleans Pelicans*,48,34,.585,17.0,111.7,110.4,1.48,2018,Western
925,San Antonio Spurs*,47,35,.573,18.0,102.7,99.8,2.89,2018,Western
926,Dallas Mavericks,24,58,.293,41.0,102.3,105.4,-2.70,2018,Western
927,Memphis Grizzlies,22,60,.268,43.0,99.3,105.5,-5.81,2018,Western
928,Toronto Raptors*,58,24,.707,—,114.4,108.4,5.49,2019,Eastern
929,Philadelphia 76ers*,51,31,.622,7.0,115.2,112.5,2.25,2019,Eastern
930,Boston Celtics*,49,33,.598,9.0,112.4,108.0,3.90,2019,Eastern
931,Brooklyn Nets*,42,40,.512,16.0,112.2,112.3,-0.40,2019,Eastern
932,New York Knicks,17,65,.207,41.0,104.6,113.8,-8.93,2019,Eastern
933,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Eastern
934,Milwaukee Bucks*,60,22,.732,—,118.1,109.3,8.04,2019,Eastern
935,Indiana Pacers*,48,34,.585,12.0,108.0,104.7,2.76,2019,Eastern
936,Detroit Pistons*,41,41,.500,19.0,107.0,107.3,-0.56,2019,Eastern
937,Chicago Bulls,22,60,.268,38.0,104.9,113.4,-8.32,2019,Eastern
938,Cleveland Cavaliers,19,63,.232,41.0,104.5,114.1,-9.39,2019,Eastern
939,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Eastern
940,Orlando Magic*,42,40,.512,—,107.3,106.6,0.28,2019,Eastern
941,Charlotte Hornets,39,43,.476,3.0,110.7,111.8,-1.32,2019,Eastern
942,Miami Heat,39,43,.476,3.0,105.7,105.9,-0.45,2019,Eastern
943,Washington Wizards,32,50,.390,10.0,114.0,116.9,-3.30,2019,Eastern
944,Atlanta Hawks,29,53,.354,13.0,113.3,119.4,-6.06,2019,Eastern
945,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Western
946,Denver Nuggets*,54,28,.659,—,110.7,106.7,4.19,2019,Western
947,Portland Trail Blazers*,53,29,.646,1.0,114.7,110.5,4.43,2019,Western
948,Utah Jazz*,50,32,.610,4.0,111.7,106.5,5.28,2019,Western
949,Oklahoma City Thunder*,49,33,.598,5.0,114.5,111.1,3.56,2019,Western
950,Minnesota Timberwolves,36,46,.439,18.0,112.5,114.0,-1.02,2019,Western
951,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Western
952,Golden State Warriors*,57,25,.695,—,117.7,111.2,6.42,2019,Western
953,Los Angeles Clippers*,48,34,.585,9.0,115.1,114.3,1.09,2019,Western
954,Sacramento Kings,39,43,.476,18.0,114.2,115.3,-0.81,2019,Western
955,Los Angeles Lakers,37,45,.451,20.0,111.8,113.5,-1.33,2019,Western
956,Phoenix Suns,19,63,.232,38.0,107.5,116.8,-8.61,2019,Western
957,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Western
958,Houston Rockets*,53,29,.646,—,113.9,109.1,4.96,2019,Western
